"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"zh-cn","cs6ac","5f14648c-2223-4f46-9f96-19c43b3e554f","7d0538f4-5f54-45af-ac81-48dbf226b6b4","129","2","true","false","false","exact","7d0538f4-5f54-45af-ac81-48dbf226b6b4","a201c56c-b0e1-4b5a-ae07-163179798a3b"
"zh-cn","cs6ac","7a870dc1-2458-4f3e-9c33-3761c223b524","aee53bdf-51c2-4870-ab99-b989253e1466","130","2","true","false","false","exact","aee53bdf-51c2-4870-ab99-b989253e1466","49540c10-6146-448f-8910-00afce87b0ba"
"zh-cn","cs6ac","3dd81323-05e7-4dcd-9d13-f60563a2b326","9f3096eb-f28c-4fd2-822d-f3d645451d07","131","2","true","false","false","exact","9f3096eb-f28c-4fd2-822d-f3d645451d07","f6e1ec8b-4dcc-40ac-8130-fe20c2e90322"
"zh-cn","cs6ac","c1e2f8d2-ac22-481d-865e-e4cbd74b078c","88cac08d-3c2a-408a-aff6-bcfc745ef2e2","132","1","true","false","false","exact","88cac08d-3c2a-408a-aff6-bcfc745ef2e2","f0080449-b160-4324-acb6-bf863c6dbe19"
"zh-cn","cs6ac","5d654cfa-cf5e-46af-a471-4f57e5cc8add","7fc70567-d97a-4622-a629-396bea17cbf8","145","1","true","false","false","exact","7fc70567-d97a-4622-a629-396bea17cbf8","344f24b9-528b-47d5-b0f5-c26dcfc577fb"
"zh-cn","cs6ac","972ad884-7212-4d2e-b2b0-fa28bca601a5","b0db83fb-39d7-4d60-82cb-f9503a1e4749","151","1","true","false","false","exact","b0db83fb-39d7-4d60-82cb-f9503a1e4749","37da182f-fa75-44fb-8cf4-640ee53a2f67"
"zh-cn","cs6ac","cc82cf9b-79a9-4258-96f6-0555edfa2a75","a666f436-b16f-437a-a63f-548ad0dd9533","152","1","true","false","false","exact","a666f436-b16f-437a-a63f-548ad0dd9533","58d0ebad-b748-4bf3-b1cc-48b67250557f"
"zh-cn","cs6ac","5d825bae-1730-4825-8a4e-d338c1d909b7","b14c1f57-2602-4837-898a-a5ddf2ff0228","160","1","true","false","false","exact","b14c1f57-2602-4837-898a-a5ddf2ff0228","1b5c84d3-2e84-435c-9b63-6e16d37e7d2d"
"zh-cn","cs6ac","ee074dca-a735-4969-b8bf-2f5f8ae65b33","8ab42d50-b248-4a95-8fae-c8766a567a81","167","1","true","false","false","exact","8ab42d50-b248-4a95-8fae-c8766a567a81","69decdf9-9873-4157-8e25-17d27c1e7b08"
"zh-cn","cs6ac","6a710553-6d08-4e2b-ab85-4ca38526d0a0","b24f0555-d96f-400f-935d-2035d1a95a53","168","1","true","false","false","exact","b24f0555-d96f-400f-935d-2035d1a95a53","fde43365-5fc6-4504-819a-dc1ef5e17aa0"
"zh-cn","cs6ac","68c63b03-5ae4-4fc8-acf0-7b000cb876fc","fb4e82c9-031d-4d2e-ba59-51e90f65f1ee","001","1","true","false","false","exact","fb4e82c9-031d-4d2e-ba59-51e90f65f1ee","1786cf02-274c-4724-a232-b986110c748f"
"zh-cn","cs6ac","3903e171-212e-4232-b553-f2792447fa6d","f5e8884a-517c-4c69-a400-de79a69c5e68","010","2","true","false","false","exact","f5e8884a-517c-4c69-a400-de79a69c5e68","e88db54e-a2fe-4c91-8722-3e9ce5fd243b"
"zh-cn","cs6ac","0c1133e5-dd1b-4933-8511-97dfd373eaf4","f1bbc92e-9434-4bb1-8e37-3438c1be290d","021","2","true","false","false","exact","f1bbc92e-9434-4bb1-8e37-3438c1be290d","81311136-5d90-4b45-96b6-bc1444d37b22"
"zh-cn","cs6ac","05281e02-0bb3-4a5a-a48c-1a168e4d686b","c4b71729-4ae6-4449-9699-eef8db9964f4","023","2","true","false","false","exact","c4b71729-4ae6-4449-9699-eef8db9964f4","29edaec5-9e2d-4c8d-a0f4-9551392d3d90"
"zh-cn","cs6ac","0b3e2dac-9252-4057-860d-3a6c35e235b3","d91b6614-1a04-4bd1-b8ca-519b5cbaf34a","035","2","true","false","false","exact","d91b6614-1a04-4bd1-b8ca-519b5cbaf34a","a4e152e5-7a5e-4361-94d6-c653b08678fb"
